kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
(Ready for) Prime Time,boatmeme,5 kyu,"Aug 29, 2013",48,10,5428,1166,20600,3338,"1,896",88,198,156,35,7,,,,,"Algorithms, Mathematics, Numbers, Utilities"
Impress your friends with Brown's Criterion!,Raffaele Fiorillo,6 kyu,"Mar 8, 2021",1,0,90,8,133,51,51,87,27,21,5,1,17.0,6 kyu,6 kyu,8 kyu,"Puzzles, Mathematics, Algorithms, Numbers"
Convert Lambda To Def,The-Kingfisher,6 kyu,"Mar 26, 2021",3,3,203,2,1216,119,119,83,45,34,7,4,36.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Strings"
Fibo akin,g964,5 kyu,"Jun 28, 2016",81,14,6640,3899,2498,778,21,88,193,156,28,9,8.0,5 kyu,4 kyu,6 kyu,Fundamentals
Map over a list of lists,Paul Robertson,7 kyu,"Apr 5, 2021",17,3,1520,16,1568,666,42,91,132,112,16,4,47.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures"
Getting along with Bernoulli's numbers,g964,5 kyu,"Nov 8, 2017",40,9,1356,308,742,85,4,86,25,20,3,2,6.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Balanced parentheses string ,ecolban,4 kyu,"Apr 16, 2021",5,2,75,2,91,6,6,100,4,4,0,0,3.0,4 kyu,4 kyu,4 kyu,"Fundamentals, Algorithms, Dynamic, Programming"
Merged String Checker,Abbe,5 kyu,"May 25, 2015",956,149,26962,7358,181612,5557,"1,143",83,817,599,158,60,,,,,"Algorithms, Strings"
Triangle area.,side2,7 kyu,"Sep 16, 2017",7,1,694,61,792,311,311,84,98,70,25,3,60.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Hands Up,nongrs,7 kyu,"Mar 10, 2016",51,8,2441,45,2243,795,142,91,174,149,20,5,12.0,7 kyu,7 kyu,8 kyu,"Algorithms, Fundamentals"
Simple Fun #118: Sum Or Product,myjinxin2015,5 kyu,"Feb 10, 2017",16,4,622,27,754,64,38,95,20,18,2,0,5.0,5 kyu,3 kyu,6 kyu,"Puzzles, Games"
Chess Fun #1: Chess Board Cell Color,myjinxin2015,6 kyu,"Feb 3, 2017",98,43,5879,693,16043,3670,764,94,752,673,71,8,10.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Sum of differences between products and LCMs,GiacomoSorbi,7 kyu,"Mar 13, 2016",54,7,2394,125,4666,868,211,89,185,151,26,8,,,,,"Fundamentals, Arrays, Lists, Data, Structures, Arithmetic, Mathematics, Algorithms, Numbers"
Portal 2: End credits song. Text printing.,dimachanin,6 kyu,"Apr 26, 2021",11,0,355,8,421,80,41,82,22,16,4,2,11.0,6 kyu,6 kyu,7 kyu,"Algorithms, Loops, Control, Flow, Basic, Language, Features, Fundamentals"
Ryomen Sukuna,vim1729,6 kyu,"Apr 17, 2021",21,0,462,11,411,91,75,83,29,22,4,3,12.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Find the vowels,willjharmer,7 kyu,"Dec 28, 2015",127,36,13001,1609,37690,7272,265,86,1059,808,210,41,,,,,Fundamentals
Simple Fun #253: Cool String,myjinxin2015,7 kyu,"May 8, 2017",20,3,1322,23,2572,535,318,92,142,122,18,2,6.0,6 kyu,6 kyu,7 kyu,Fundamentals
Common Denominators,g964,5 kyu,"Feb 8, 2015",958,176,51397,20434,104929,9609,"1,240",85,1342,1008,261,73,,,,,"Fundamentals, Algorithms, Mathematics, Numbers"
The Lift,dinglemouse,3 kyu,"Mar 24, 2017",666,152,9171,2457,31951,1392,248,96,360,332,28,0,3.0,3 kyu,1 kyu,5 kyu,Algorithms
Human Readable Time,BattleRattle,5 kyu,"Oct 23, 2013",938,251,86044,9625,181443,59125,"20,942",87,5540,4239,1175,126,,,,,"Algorithms, Dates, Time, Mathematics, Numbers"
Highest and Lowest,Deantwo,7 kyu,"May 7, 2015",1416,318,217198,17405,498867,120719,"9,482",90,14001,11269,2529,203,,,,,"Fundamentals, Strings"
Moves in squared strings (I),g964,7 kyu,"Mar 6, 2016",388,94,30975,7281,38331,7522,273,91,1300,1081,193,26,,,,,Fundamentals
Vowel Count,jayeshcp,7 kyu,"Mar 10, 2015",1249,304,252821,17096,478508,169241,"22,437",88,19203,14821,4026,356,,,,,"Fundamentals, Strings, Utilities"
Mutual Recursion,dnolan,6 kyu,"Jun 18, 2014",50,20,4549,365,5920,2241,878,79,431,287,104,40,,,,,"Algorithms, Mathematics, Numbers, Recursion, Computability, Theory, Theoretical, Computer, Science"
Alan Partridge II - Apple Turnover,PG1,8 kyu,"Oct 21, 2016",54,33,12239,207,20940,9477,"4,428",85,1367,1028,268,71,8.0,8 kyu,8 kyu,8 kyu,"Fundamentals, Numbers, Strings, Mathematics, Algorithms"
Sum of all numbers with the same digits (performance edition),tonylicoding,6 kyu,"May 12, 2020",47,10,1532,57,1873,267,259,88,81,64,14,3,17.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Performance, Numbers, Permutations, Algorithms"
Factorial,wichu,7 kyu,"Aug 2, 2016",43,25,9052,324,17492,6888,244,89,1204,985,185,34,14.0,7 kyu,7 kyu,8 kyu,Fundamentals
Convert boolean values to strings 'Yes' or 'No'.,weavermedia,8 kyu,"Mar 29, 2014",374,113,112849,5300,182822,91424,"5,510",87,9112,7072,1712,328,,,,,"Fundamentals, Booleans, Best, Practices"
Disemvowel Trolls,osuushi,7 kyu,"Feb 12, 2014",1319,229,247907,20193,461199,134677,675,88,15397,11884,3225,288,,,,,"Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Basic Math (Add or Subtract),nza,7 kyu,"Oct 21, 2016",82,31,7042,155,17597,3218,245,90,612,503,99,10,14.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings"
How Much?,g964,6 kyu,"Jul 26, 2015",276,47,24929,8629,29042,4606,162,81,770,525,192,53,,,,,Fundamentals
Backspaces in string,vetalpaprotsky,6 kyu,"May 2, 2016",208,80,15260,893,39265,8579,346,94,1258,1111,132,15,19.0,6 kyu,5 kyu,8 kyu,"Algorithms, Fundamentals, Strings"
Average Scores,twinbird24,7 kyu,"Aug 23, 2016",51,5,7277,763,18126,4367,"1,498",85,742,557,153,32,18.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
How many lightsabers do you own?,kylehill,8 kyu,"Aug 1, 2013",109,22,21803,1213,60134,16099,"7,185",74,1792,1112,419,261,,,,,Fundamentals
Evens times last,CTingCTer,7 kyu,"Nov 26, 2017",18,10,3015,40,11365,2050,"1,222",90,362,299,55,8,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Arrays"
Moves in squared strings (II),g964,6 kyu,"Mar 6, 2016",180,52,13752,5631,18131,2907,119,90,560,459,88,13,,,,,Fundamentals
Area or Perimeter,no one,8 kyu,"Mar 24, 2018",71,14,18917,291,29629,16594,"5,652",89,2170,1753,351,66,480.0,7 kyu,1 kyu,8 kyu,Fundamentals
Ackermann Function ,Were_Cat,6 kyu,"Jun 27, 2014",46,14,3502,340,5798,2425,471,78,239,158,59,22,,,,,"Algorithms, Mathematics, Numbers, Recursion, Computability, Theory, Theoretical, Computer, Science"
Graph-like Sequence,Rail-Gun,5 kyu,"Apr 22, 2021",5,0,161,4,630,38,38,87,15,13,0,2,7.0,5 kyu,5 kyu,6 kyu,"Algorithms, Graphs, Data, Structures, Sorting"
up AND down,g964,6 kyu,"Feb 22, 2016",147,32,10323,3409,11115,1794,84,90,351,289,53,9,,,,,"Fundamentals, Strings"
Most profit from stock quotes,arhigod,6 kyu,"Jul 31, 2017",23,3,1135,57,2643,273,122,89,57,48,6,3,8.0,6 kyu,5 kyu,7 kyu,"Puzzles, Numbers"
Ranking NBA teams,g964,6 kyu,"Dec 26, 2017",95,28,2997,148,12350,662,31,80,166,115,35,16,5.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings"
Twisted Sum,agram,6 kyu,"Nov 9, 2013",91,11,5669,510,17108,3208,979,93,416,367,45,4,,,,,"Algorithms, Numbers, Arithmetic, Mathematics"
Steps in k-primes,g964,6 kyu,"Dec 31, 2017",68,9,3286,635,2620,433,29,88,126,100,21,5,4.0,6 kyu,6 kyu,7 kyu,Fundamentals
Binary operations #1,ItisAsimulation,7 kyu,"Oct 2, 2015",25,6,1002,111,2066,402,116,88,140,116,15,9,31.0,6 kyu,6 kyu,8 kyu,Fundamentals
Financing a purchase,g964,6 kyu,"Sep 23, 2017",94,37,3796,381,2722,497,6,82,111,82,19,10,3.0,6 kyu,6 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Geometry Basics: Distance between points in 2D,taw,8 kyu,"Mar 30, 2017",94,27,10258,261,12387,4723,280,89,735,597,116,22,17.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Binaries,g964,6 kyu,"Oct 5, 2019",113,22,4778,194,4534,1026,358,91,234,199,26,9,4.0,6 kyu,6 kyu,7 kyu,Fundamentals
Spraying trees,Cptnprice,7 kyu,"Aug 2, 2017",13,6,2757,29,3563,2019,824,88,296,235,51,10,17.0,7 kyu,7 kyu,8 kyu,Fundamentals
Buddy Pairs,g964,5 kyu,"Sep 28, 2017",384,98,13030,2687,14783,2368,9,88,413,335,61,17,4.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Positions Average,g964,6 kyu,"Oct 28, 2017",132,34,7713,615,9205,1621,17,86,348,272,57,19,7.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings"
Clock hands cross [Code Golf],mauro-1,6 kyu,"Apr 21, 2021",3,0,137,3,181,13,13,86,7,5,2,0,5.0,6 kyu,5 kyu,7 kyu,Fundamentals
Sort Numbers,jhoffner,7 kyu,"Apr 22, 2013",117,28,24856,1805,75310,17898,"7,150",86,1500,1145,288,67,,,,,Fundamentals
Don't Eat the Last Cake!,SagePtr,5 kyu,"May 27, 2014",580,49,12009,5060,34181,1487,500,93,212,188,17,7,,,,,"Puzzles, Games, Strategies, Rules"
Errors : histogram,g964,6 kyu,"Oct 28, 2017",66,26,4821,466,10627,1622,14,88,331,264,54,13,8.0,6 kyu,4 kyu,7 kyu,"Fundamentals, Strings"
k-Primes,g964,5 kyu,"May 2, 2016",485,100,17275,6874,20485,1808,85,89,394,321,56,17,9.0,5 kyu,4 kyu,7 kyu,Fundamentals
Catalog,g964,6 kyu,"Oct 8, 2017",100,29,4873,544,12269,1466,25,91,321,272,42,7,4.0,6 kyu,6 kyu,6 kyu,"Fundamentals, Strings"
Word to binary,Hoslack,7 kyu,"Aug 5, 2017",22,6,2091,22,2867,1334,596,91,279,236,35,8,37.0,7 kyu,6 kyu,8 kyu,Fundamentals
All Star Code Challenge #22,shaddyjr,7 kyu,"Dec 31, 2016",31,11,4955,42,7663,3464,"1,975",94,593,527,58,8,13.0,7 kyu,6 kyu,8 kyu,Fundamentals
Coding Meetup #1 - Higher-Order Functions Series - Count the number of JavaScript developers coming from Europe,PiotrBerebecki,7 kyu,"Nov 12, 2016",87,67,6487,241,20593,4930,"4,375",93,856,747,100,9,8.0,7 kyu,7 kyu,8 kyu,"Algorithms, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Data, Structures, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Arrays, Objects, Functional, Programming"
Stop gninnipS My sdroW!,xDranik,6 kyu,"Oct 21, 2013",1528,270,222901,24931,483432,113214,"40,236",90,14757,11942,2638,177,,,,,"Algorithms, Strings, Formatting"
Adjacent repeated words in a string,tforbus,6 kyu,"Sep 27, 2013",63,5,3548,344,15764,2013,"1,339",91,310,263,40,7,,,,,"Fundamentals, Strings, Search, Algorithms"
String repeat,wichu,8 kyu,"Aug 2, 2016",580,169,112336,4516,219184,88976,"1,101",87,9654,7434,1849,371,23.0,7 kyu,7 kyu,8 kyu,Fundamentals
Thinking & Testing: A and B?,myjinxin2015,7 kyu,"Mar 4, 2016",145,37,11859,414,38076,3225,985,75,631,406,138,87,,,,,"Puzzles, Games"
Valid Spacing,Rbaha07,7 kyu,"Oct 3, 2020",39,18,4093,43,15624,2455,"1,023",92,376,325,41,10,72.0,7 kyu,1 kyu,8 kyu,Fundamentals
Counting Duplicates,kgashok,6 kyu,"Jan 21, 2015",2257,440,236087,33698,495224,99372,"36,312",89,12332,9902,2213,217,,,,,"Fundamentals, Strings"
Meeting,g964,6 kyu,"Oct 12, 2017",389,89,21715,2770,42987,10028,58,93,1359,1177,164,18,18.0,6 kyu,5 kyu,8 kyu,Fundamentals
Harvest Festival,The-Kingfisher,7 kyu,"Apr 9, 2021",21,4,1447,22,3201,776,378,92,147,127,17,3,31.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Conditional, Statements, Control, Flow, Basic, Language, Features"
